Asset ID,Customer,Customer Code,Location,Location Code,Place,Asset Type,Route,Asset Class,Market ID,Item Code,Item,Spoiled Qty,Inventory Over/Short Qty,Sold Qty,Total Revenue,Sales Tax
4504396,Cape Regional,,Cape Regional Medical Center,,ER,Bev (DN HVV (720)),Route 8,Bev,,01236901,Brisk Iced Tea 20 oz,30,0,0,$0.00,$0.00
4446798,Cape May County,,Park/Zoo Maintenance-CMC,,,Bev (DN 501E),Route 8,Bev,,01212901,Pepsi - 20 Oz,26,0,8,$15.77,$0.00
DRBAMaintenanceSnackRight,Delaware River and Bay Authority (DRBA),,DRBA Maintenance,,,Snack Rack,Route 14,Snack Rack,44,026200117003,Slim Jim Original,22,0,0,$0.00,$0.00
MTN1 Main Upper Food,Amazon MTN1,,Amazon MTN1 1st Floor Main Market,,,Food Cooler,Route 16,Food Cooler,86,906006,York Street Vegan Smashed Chickpea Wrap,17,0,0,$0.00,$0.00
MTN1 Main Upper Food,Amazon MTN1,,Amazon MTN1 1st Floor Main Market,,,Food Cooler,Route 16,Food Cooler,86,7420,York Street Asiago Turkey,15,0,5,$34.95,$0.00
MTN1 Main Upper Food,Amazon MTN1,,Amazon MTN1 1st Floor Main Market,,,Food Cooler,Route 16,Food Cooler,86,9160,York Street Ham & Cheddar Wrap,15,0,6,$41.84,$0.00
CMC Human Services Double Door Drink Left,Cape May County,,CMC Human Services,,Employee Breakroom,Beverage Cooler,Route 8,Beverage Cooler,70,01212901,Pepsi - 20 Oz,13,0,1,$2.29,$0.14
DRBAMaintenance Single Door Drink 2,Delaware River and Bay Authority (DRBA),,DRBA Maintenance,,,Beverage Cooler,Route 14,Beverage Cooler,44,076183163764,Snapple Diet Lemon Tea -16oz,12,0,0,$0.00,$0.00
10632968,Jet East Aviation,,Jet East Aviation,,Hangar,Bev (DN 501E),Route 6,Bev,,012000016431,AMP Original 16 oz,11,0,3,$9.22,$0.00
MTN1 Main Upper Food,Amazon MTN1,,Amazon MTN1 1st Floor Main Market,,,Food Cooler,Route 16,Food Cooler,86,10730,York Street Italian Combo,11,0,6,$41.94,$0.00
