Asset ID,Customer,Customer Code,Location,Location Code,Place,Asset Type,Route,Asset Class,Address,Address 2,City,State,Zip,Phone,Asset Family,Asset Make,Asset Model,Asset Serial Number,Branch,Commission Plan,Contact Name,Dynamic Schedule,Schedule Type,Email,Interval Schedule,Inventory Interval,Line of Business,Payment Terms,Static Schedule,Subroute,Tax Jurisdiction,Telemetry Device ID,Telemetry Supplier,Is Deployed
0,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,Unknown,Quality Vending and Coffee Service warehouse,Unknown,,,,,,,Non-Revenue Equipment,Unknown,Unknown,,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,,Vending,Net 30,,,Tax Exempt,,,No
1,Parker Hannifin Canada,70179,Parker Hannifin Canada (Head Office),50956,SNACKS,NAT 168D,Route 05,Snack,1305 Clarence ave,,Winnipeg,MB,,,Vending Machine,Crane,15x/16x,168-039354,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $125.00; Depleted Products: 4; Days Without Visit: 21,Dynamic,,,4,Vending,Net 30,,Winnipeg South,GST + PST,C012017522456,Coinco,Yes
1000,Ventrex - 70341,70341,CFB Building 137 - 50911,50911,50911-CFB BLD 137 Pepsi,V 511,Route 04,Bev,680 Whytewold Rd,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,737027,Quality Vending and Coffee Service,30% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,Winnipeg NW,GST + PST,,,No
1000,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,V 511,Returned To Pepsi,Unknown,,,,,,,Vending Machine,Unknown,Unknown,737027,Quality Vending and Coffee Service,30% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
1002,Symington Diesel Club - 70447,70447,CN Diesel Trip Pit - 51128,51128,DIESEL TRIP PIT SNACKS,NAT 146,Route 13,Unknown,821 Lagimodiere Blvd,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,16662,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,Winnipeg NE,GST + PST (No GST on Commissions),,,No
1002,1-Service,1,9998-Sold/Destroyed,,,NAT 146,Quality Vending and Coffee Service warehouse,Unknown,,,,MB,,,Vending Machine,Unknown,Unknown,16662,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,4,Vending,Net 30,,,GST + PST,,,No
1002,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,NAT 146,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,16662,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,4,Vending,Net 30,,,Tax Exempt,,,No
1005,YM-YWCA (East Kildonan) - 70036,70036,YM-YWCA (East Kildonan),228,Generic Bottle,GF Bev (DN),Route 13,GF Bev,454 Kimberly Ave,,Winnipeg,MB,R2K 0X8,(204) 668-8140,Vending Machine,DN,5800-4,4514,Quality Vending and Coffee Service,12% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 28,Dynamic,carol.frost@ymanitoba.ca,,0,Vending,Net 30,,Winnipeg NE,GST + PST,C015115521008,Coinco,Yes
1006,Harvest Manitoba,50883,Harvest Manitoba,50883,FB Coffee,Coffee (Crane),Route 05,Coffee,1085 Winnipeg Ave,,Winnipeg,MB,R3E 0S2,,Non-Revenue Equipment,Crane,627,627-14609,Quality Vending and Coffee Service,20% of Sales,Jim Jackson,,Static,,,,Vending,Net 30,1: Mon Thu,Vending Static,GST + PST,,,Yes
1021,1-Service,1,9998-Sold/Destroyed,,THORLAKSON PEPSI NON CARB,V 320,Quality Vending and Coffee Service warehouse,Unknown,,,,MB,,,Non-Revenue Equipment,Unknown,Unknown,1238170,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,,Vending,Net 30,1: Mon Tue Wed Thu Fri,,GST + PST,,,No
1021,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,V 320,Returned To Pepsi,Unknown,,,,,,,Non-Revenue Equipment,Unknown,Unknown,1238170,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,,Vending,Net 30,1: Mon Tue Wed Thu Fri,,Tax Exempt,,,No
1024,Manitoba Housing - 70133,70133,MB Housing (475 Sargent) - 50117,50117,Pepsi,HVV 621,Quality Vending and Coffee Service warehouse,Bev,475 Sargent,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,139780,Quality Vending and Coffee Service,10% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1024,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,HVV 621,Returned To Pepsi,Unknown,,,,,,,Vending Machine,Unknown,Unknown,139780,Quality Vending and Coffee Service,10% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
