Branch,Route,Location,Place,Telemetry Device ID,Asset ID,Asset Type,Asset Class,Selection,Group,Item,Item Code,Current Level,Par,Depletion Limit,Capacity,Price,Desired Price,Has Price Mismatch,Avg Weekly Vends,Days Since Last Sale,Has Pending Planogram Change,Column Number,Quantity
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,A0,,OD Big Bag BBQ Corn Chips,154008,7,9,2,9,$2.25,$2.25,No,0.2331,1.85,No,0,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,A2,,OD Big Bag Sour Cream & Onion,154027,7,9,2,9,$2.25,$2.25,No,0.6867,26.82,No,2,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,A4,,OD Big Bag Sour Cream & Onion,154027,7,9,2,9,$2.25,$2.25,No,2.3065,0.52,No,4,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,A6,,FL Big Grab Cheetos Cheddar Popcorn,880471,5,5,2,9,$2.25,$2.25,No,0.1946,30.82,No,6,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,B0,,OD Big Bag Mexican Chili Chips,154029,5,5,2,9,$2.25,$2.25,No,0.3003,28.82,No,0,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,B2,,FL Big Grab Smartfood White Cheddar Popcorn,206020,4,5,2,9,$2.25,$2.25,No,0.287,6.53,No,2,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,B4,,OD Big Bag Salt & Vinegar Chips,154025,7,9,2,9,$2.25,$2.25,No,0.8001,0.86,No,4,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,B6,,OD Big Bag Ketchup Chips,154028,6,9,2,9,$2.25,$2.25,No,1.9936,1.85,No,6,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,C0,,OD Big Bag BBQ Corn Chips,154008,6,9,2,9,$2.25,$2.25,No,0.4865,12.86,No,0,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,C2,,FL Big Grab Hickory Sticks,152039,5,9,2,9,$2.25,$2.25,No,1.1466,2.86,No,2,0
