Asset ID,Customer,Customer Code,Location,Location Code,Place,Asset Type,Route,Asset Class,Item Code,Item,Spoiled Qty,Inventory Over/Short Qty,Sold Qty,Total Revenue,Sales Tax
5072,Standard Aero,70076,Standard Aero Plant 6,50023,,Frozen,Route 04,,904250,Drumstick Strawberry Cheesecake,0,0,4,$13.40,$1.44
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,904250,Drumstick Strawberry Cheesecake,0,0,0,$0.00,$0.00
6233,Parian Logistics,,Parian Warehouse Lunchroom,,,Frozen,Route 05,Other,904250,Drumstick Strawberry Cheesecake,0,0,1,$3.35,$0.36
679,Deer Lodge Centre,70203,Deer Lodge Centre,50613,FROZEN,NAT 455D,Route 04,Snack,904232,Ice Cream Sandwich,0,0,5,$12.19,$0.00
5609,RCMP - 51277,51277,RCMP Head Quarters,51277,,Freezer,Route 20,,904232,Ice Cream Sandwich,0,0,1,$2.23,$0.24
6005,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Freezer,Route 06 - Taxation,,904232,Ice Cream Sandwich,0,0,1,$1.78,$0.19
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,904232,Ice Cream Sandwich,0,-1,0,$0.00,$0.00
6215,Amstead Canada Inc.,70115,Amstead Canada Inc.,51177,,Frozen,Route 13,Other,904232,Ice Cream Sandwich,0,0,1,$1.78,$0.19
679,Deer Lodge Centre,70203,Deer Lodge Centre,50613,FROZEN,NAT 455D,Route 04,Snack,904217,Oreo Ice Cream Sandwich,0,0,0,$0.00,$0.00
5072,Standard Aero,70076,Standard Aero Plant 6,50023,,Frozen,Route 04,,904217,Oreo Ice Cream Sandwich,0,0,1,$3.12,$0.33
6005,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Freezer,Route 06 - Taxation,,904217,Oreo Ice Cream Sandwich,0,0,2,$6.70,$0.72
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,904217,Oreo Ice Cream Sandwich,0,-3,0,$0.00,$0.00
679,Deer Lodge Centre,70203,Deer Lodge Centre,50613,FROZEN,NAT 455D,Route 04,Snack,904214,Drumstick Vanilla Fudge,0,0,6,$19.35,$0.00
777,Emergent Biosolutions,50018,Emergent Biosolutions Micromarket,50018,,Frozen Food,Route 05,,904214,Drumstick Vanilla Fudge,0,0,1,$3.35,$0.36
5072,Standard Aero,70076,Standard Aero Plant 6,50023,,Frozen,Route 04,,904214,Drumstick Vanilla Fudge,0,0,1,$3.35,$0.36
110,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Freezer,Route 20,,904214,Drumstick Vanilla Fudge,0,0,0,$0.00,$0.00
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,904214,Drumstick Vanilla Fudge,0,0,0,$0.00,$0.00
679,Deer Lodge Centre,70203,Deer Lodge Centre,50613,FROZEN,NAT 455D,Route 04,Snack,904211,Super Sandwich,0,0,4,$12.09,$0.00
5609,RCMP - 51277,51277,RCMP Head Quarters,51277,,Freezer,Route 20,,904211,Super Sandwich,0,0,1,$3.13,$0.34
6005,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Freezer,Route 06 - Taxation,,904211,Super Sandwich,0,0,1,$3.35,$0.36
6024,St. Amant-50540,,St. Amant Micromarket,,,Frozen,Route 05,Other,904211,Super Sandwich,0,0,1,$3.12,$0.33
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,904211,Super Sandwich,0,-1,0,$0.00,$0.00
777,Emergent Biosolutions,50018,Emergent Biosolutions Micromarket,50018,,Frozen Food,Route 05,,903104,Breakfast Burrito,0,0,1,$2.79,$0.30
110,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Freezer,Route 20,,903104,Breakfast Burrito,0,0,0,$0.00,$0.00
5609,RCMP - 51277,51277,RCMP Head Quarters,51277,,Freezer,Route 20,,903104,Breakfast Burrito,0,0,1,$2.79,$0.30
5519,Old Dutch Foods,51266,Old Dutch Foods - Bental,3265,,Freezer,Route 07,,903104,Breakfast Burrito,0,0,1,$2.57,$0.28
5826,Simplot Canada,50562,Simplot MicroMarket,50562,NO NUTS!!!,Freezer,Route 12,,903104,Breakfast Burrito,0,0,1,$2.79,$0.30
679,Deer Lodge Centre,70203,Deer Lodge Centre,50613,FROZEN,NAT 455D,Route 04,Snack,903100,Burritos Assorted,0,0,5,$12.69,$0.00
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,903100,Burritos Assorted,0,-5,5,$5.79,$0.00
679,Deer Lodge Centre,70203,Deer Lodge Centre,50613,FROZEN,NAT 455D,Route 04,Snack,901001,Pizza Pops,0,0,4,$11.69,$0.00
5072,Standard Aero,70076,Standard Aero Plant 6,50023,,Frozen,Route 04,,901001,Pizza Pops,0,0,1,$2.00,$0.21
110,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Freezer,Route 20,,901001,Pizza Pops,0,0,0,$0.00,$0.00
5826,Simplot Canada,50562,Simplot MicroMarket,50562,NO NUTS!!!,Freezer,Route 12,,901001,Pizza Pops,0,0,6,$12.04,$1.30
5535,Canadian Blood Services,50302,Canadian Blood Services,,,GF Frozen (Crane 455),Route 07,GF Frozen,901001,Pizza Pops,0,-1,2,$2.09,$0.00
4833,Food Systems Managment,70126,John Taylor Collegiate - 59519,59519,,Snack - NAT 168,Route 04,Snack,880526,FL Popcorners Sea Salt,0,0,1,$0.67,$0.00
3473,YM-YWCA (St. James) - 70108,70108,YMCA St James - 50305,50305,Peanut Free,186D,Route 04,Snack,880526,FL Popcorners Sea Salt,0,0,0,$0.00,$0.00
1413,Winnipeg Regional Health Authority,68007,WRHA - Winnipeg Laundry,3329,Refreshtron,NAT 497,Route 03,Snack,880526,FL Popcorners Sea Salt,0,0,5,$8.29,$0.00
4995,Euro Craft - 50066,50066,Euro Craft - 50066,50066,Refreshtron,A.P. LCM4,Route 13,Snack,880526,FL Popcorners Sea Salt,0,0,1,$0.08,$0.00
1467,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Seven Oaks Pool,51097,,Nat 949D chiller,Route 03,GF Food,880526,FL Popcorners Sea Salt,0,0,2,$3.82,$0.00
4520,Virology Lab Social Committee - 70121,70121,Virology Lab Cafe - 50236,50236,,Snack NAT 167M,Route 07,Snack,880526,FL Popcorners Sea Salt,0,0,2,$3.30,$0.00
5865,Seven Oaks Hospital,70096,Seven Oaks Hospital Emergency - 50429,50429,,147 With VE Replacement Door,Route 03,Snack,880526,FL Popcorners Sea Salt,0,0,3,$8.16,$0.00
5972,Storm Catering,70144,Misericordia Hospital Cornish Entrance,,,Snack (Crane Merchant),Route 05,Snack,880526,FL Popcorners Sea Salt,0,0,0,$0.00,$0.00
1649,Manitoba Building Trades,,Manitoba Building Trades,,,NAT 167D,Route 04,Snack,880526,FL Popcorners Sea Salt,0,0,1,$0.46,$0.00
317,Food Systems Managment,70126,Oak Park High School - 50505,50505,Peanut Free,NAT 181D,Route 04,Snack,880526,FL Popcorners Sea Salt,0,0,7,$12.51,$0.00
6009,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Snack SmartPick,Route 06 - Taxation,,880525,FL Big Grab Poppables White Cheddar,0,0,5,$10.60,$1.15
6204,Fedex,4470,Fedex,4470,,Snack,Route 04,,880525,FL Big Grab Poppables White Cheddar,0,0,1,$2.23,$0.24
765,Canadian Blood Services,50302,Canadian Blood Services,,,NAT 167D,Route 07,Snack,880524,FL Baked Lays Original,3,0,0,$0.00,$0.00
671,Grace Hospital - 70390,70390,Grace Hospital Cafeteria - 51046,51046,Snack,980,Route 04,Snack,880524,FL Baked Lays Original,0,0,1,$2.78,$0.00
4135,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,BONIVITAL POOL - 51090,51090,Snack,Nat 949D chiller,Route 13,GF Food,880524,FL Baked Lays Original,0,0,0,$0.00,$0.00
4833,Food Systems Managment,70126,John Taylor Collegiate - 59519,59519,,Snack - NAT 168,Route 04,Snack,880524,FL Baked Lays Original,0,0,1,$2.94,$0.00
3473,YM-YWCA (St. James) - 70108,70108,YMCA St James - 50305,50305,Peanut Free,186D,Route 04,Snack,880524,FL Baked Lays Original,0,0,13,$24.85,$0.00
522,Winnipeg Winter Club - 70417,70417,Winter Club (Cafeteria) - 50319,50319,Snack,NAT 157,Route 03,Snack,880524,FL Baked Lays Original,0,0,4,$5.59,$0.00
1413,Winnipeg Regional Health Authority,68007,WRHA - Winnipeg Laundry,3329,Refreshtron,NAT 497,Route 03,Snack,880524,FL Baked Lays Original,0,0,3,$5.32,$0.00
4443,Selkirk GMC,70305,Selkirk GM - 50814,50814,Snack,NAT 168,Route 12,Snack,880524,FL Baked Lays Original,0,0,0,$0.00,$0.00
5271,Virology Lab Social Committee - 70121,70121,JC Wilt Lab - 50237,50237,Refreshtron,Seaga VC630S,Route 07,Snack/Bev,880524,FL Baked Lays Original,0,2,7,$10.94,$0.00
5681,Grace Hospital - 70390,70390,Grace Hospital Lobby - 51048,51048,Snack,Snack (Crane),Route 04,Snack,880524,FL Baked Lays Original,0,-4,4,$8.46,$0.00
6009,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Snack SmartPick,Route 06 - Taxation,,880524,FL Baked Lays Original,0,0,1,$1.78,$0.19
1467,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Seven Oaks Pool,51097,,Nat 949D chiller,Route 03,GF Food,880524,FL Baked Lays Original,0,0,1,$0.70,$0.00
5865,Seven Oaks Hospital,70096,Seven Oaks Hospital Emergency - 50429,50429,,147 With VE Replacement Door,Route 03,Snack,880524,FL Baked Lays Original,0,0,0,$0.00,$0.00
3671,Villa Cabrini Senior Citizens Residence,51084,Villa Cabrini Senior Citizens Residence,,,NAT 168 D,Route 03,Snack,880524,FL Baked Lays Original,0,0,2,$3.86,$0.00
5972,Storm Catering,70144,Misericordia Hospital Cornish Entrance,,,Snack (Crane Merchant),Route 05,Snack,880524,FL Baked Lays Original,0,0,1,$2.05,$0.00
1649,Manitoba Building Trades,,Manitoba Building Trades,,,NAT 167D,Route 04,Snack,880524,FL Baked Lays Original,0,0,1,$2.87,$0.00
4643,TEAMS Transport - 51223,51223,TEAMS Transport - 51223,51223,,Snack (Crane),Route 13,Snack,880524,FL Baked Lays Original,0,-2,0,$0.00,$0.00
6182,Costco 549 - Winnipeg South,50439,Costco 549 - Winnipeg South,,,Snack 2,Route 05,Snack Rack,880524,FL Baked Lays Original,0,0,2,$2.66,$0.28
6004,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Deli Cooler,Route 06 - Taxation,,880518,Remedy Kombucha Raspberry Lemonade,0,0,1,$4.49,$0.48
4842,Gerdau Manitoba,70309,MRM Office R1 - 52143,52143,,M-167,Route 12,Snack,880498,Cut Guard Sleeves 18 ,0,0,0,$0.00,$0.00
90574,Steinbach Credit Union,4870,Steinbach Credit Union (St Marys),,,Unknown,Route 16 - OCS#1,Unknown,880488,Lil Honey Box/120,0,0,2,$53.74,$5.76
3694,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Drink Cooler,Route 20,Beverage Cooler,880487,Jack Links Pepperoni & Cheddar 45g,0,0,0,$0.00,$0.00
5597,RCMP - 51277,51277,RCMP Head Quarters,51277,,Deli Cooler,Route 20,,880487,Jack Links Pepperoni & Cheddar 45g,0,0,1,$3.35,$0.36
5103,Old Dutch Foods,51266,Old Dutch Foods - Bental,3265,,Deli Cooler,Route 07,Other,880487,Jack Links Pepperoni & Cheddar 45g,0,0,1,$3.35,$0.36
931,Grace Hospital - 70390,70390,Grace Hospital Emergency - 51047,51047,Snack,Snack (Crane Merchant),Route 04,Snack,880480,USB Lightning Cable,0,0,0,$0.00,$0.00
305,Via Rail Union Station,5193,Via Rail Union Station,,,NAT 167,Route 03,Snack,880480,USB Lightning Cable,0,0,0,$0.00,$0.00
5195,Sysco - 50101,50101,Sysco,50101,,Pepsi Cooler,Route 05,,880479,Red Bull Innovation,0,0,2,$6.74,$0.72
