Item Code,Name,Category,Finance Category,Commission Category,Tax Category,Deposit Category,Manufacturer,Size,Count,Default Unit Cost,Unit Cost: K&R Vending,Pick Order,Case Count,Case Barcode(s),Box Count,Box Barcode(s),Each Barcode(s),Custom Pack,Custom Count,Custom Barcode(s),Auto-Transfer,Invoice-Only,Receive Pack,Transfer Pack,Delivery Pack,Supplier: Coke,Supplier Code: Coke,Supplier: Ellis,Supplier Code: Ellis,Supplier: Pepsi Bottling Group,Supplier Code: Pepsi Bottling Group,Supplier: Tri City,Supplier Code: Tri City,Supplier: Vistar Mid Atlantic,Supplier Code: Vistar Mid Atlantic,CF: Eatwell,CF: Nuts
4455856,"Silver Source Paper Plate 1200ct, case",Paper Goods,OCS,Non-Vending,Paper Goods,No Deposit,None,,1200,$24.3700,,,,,,,00806795137545,,,,Yes,No,,,,Yes,,Yes,,Yes,,Yes,,Yes,,No,Yes
50794297776919,"16oz Ecotainer Lid, 1200ct case",Paper Goods,OCS,Non-Vending,Paper Goods,No Deposit,None,,1200,$85.5000,,,,,,,50794297776919,Do not use,"1,200",50794297871423,Yes,No,,,,No,,No,,No,,Yes,,No,,No,Yes
10037700257806,Premium Paper Bowls- Case 1000ct,Paper Goods,OCS,Non-Vending,Paper Goods,No Deposit,None,,1000,$68.7500,,,,,,,0609456642521,,,,Yes,No,,,,No,,No,,No,,Yes,,No,,No,Yes
1105000,"Spork, Wrapped",Cond/supplies,OCS,Non-Vending,Cond/supplies,None,None,,1000,$23.0300,,,,,,,,,,,Yes,No,,,,No,,No,,No,,No,,No,,No,Yes
20010,10 oz Styro Cups 1000ct case,Paper Goods,OCS,Non-Vending,Paper Goods,No Deposit,None,,1000,$53.7100,,,,,,,041594200087,(multiple),,,Yes,No,,,,No,,No,,No,,No,,No,,No,No
332320,"Fork, Wrapped 1000 ct",Cond/supplies,Food,Cond/supplies,Cond/supplies,No Deposit,None,,1000,$30.4400,,,,,,,332320,,,,Yes,No,,,,Yes,,Yes,,Yes,,Yes,,Yes,,No,Yes
78963214,Condiment Kits,OCS Codes,OCS,Non-Vending,Allied OCS Goods,No Deposit,None,,500,$30.0000,,,,,,,,,,,Yes,No,,,,No,,No,,No,,No,,No,,No,Yes
24050,Hershey Milk Chocolate,Candy,Snack,1Candy,1Candy,No Deposit,Hershey,,432,$0.4471,,,,,,,03424005,,,,Yes,No,,,,No,,No,,No,,No,,No,,No,Yes
02243405,Life Saver 5 Flavor,Gum & Mints,Snack,4Gum & Mints,4Gum & Mints,No Deposit,Wrigley,,300,$0.6300,,,300,10022000229356,20,,02243405,,,,Yes,No,,,,No,,No,,No,,No,,Yes,,No,Yes
15332,Wrigley Doublemint Gum,Gum & Mints,Snack,4Gum & Mints,4Gum & Mints,No Deposit,Wrigley,,280,$0.3804,,,280,10022000230031,20,,15332,,,,Yes,No,,,,No,,No,,No,,No,,Yes,23003,No,Yes
15333,Wrigley Juicyfruit Gum,Gum & Mints,Snack,4Gum & Mints,4Gum & Mints,No Deposit,Wrigley,.9 oz,280,$0.3980,,,280,10022000230055,20,,15333,,,,Yes,No,,,,No,,No,,No,,No,,Yes,23005,No,Yes
432230,Cutlery Kit,Cond/supplies,Food,Cond/supplies,Cond/supplies,No Deposit,None,,250,$35.9900,,,,,,,,,,,Yes,No,,,,No,,No,,No,,No,,No,,No,Yes
